color_space,color_bins,pixels_per_cell,orientations,use_lbp,feature_dim,best_cv_accuracy,best_C,best_gamma
BGR,"(8, 8, 8)","(16, 16)",9,False,2276,0.730000,100,1e-05
BGR,"(8, 8, 8)","(16, 16)",9,True,2286,0.740000,100,1e-05
BGR,"(8, 8, 8)","(16, 16)",12,False,2864,0.735000,50,1e-05
BGR,"(8, 8, 8)","(16, 16)",12,True,2874,0.730000,50,1e-05
BGR,"(8, 8, 8)","(16, 16)",15,False,3452,0.715000,50,1e-05
BGR,"(8, 8, 8)","(16, 16)",15,True,3462,0.715000,50,1e-05
BGR,"(8, 8, 8)","(16, 16)",18,False,4040,0.710000,10,1e-05
BGR,"(8, 8, 8)","(16, 16)",18,True,4050,0.705000,50,1e-05
BGR,"(8, 8, 8)","(24, 24)",9,False,1088,0.760000,50,0.0001
BGR,"(8, 8, 8)","(24, 24)",9,True,1098,0.760000,50,0.0001
BGR,"(8, 8, 8)","(24, 24)",12,False,1280,0.770000,50,1e-05
BGR,"(8, 8, 8)","(24, 24)",12,True,1290,0.785000,100,1e-05
BGR,"(8, 8, 8)","(24, 24)",15,False,1472,0.770000,10,0.0001
BGR,"(8, 8, 8)","(24, 24)",15,True,1482,0.770000,50,0.0001
BGR,"(8, 8, 8)","(24, 24)",18,False,1664,0.770000,100,1e-05
BGR,"(8, 8, 8)","(24, 24)",18,True,1674,0.770000,100,1e-05
BGR,"(8, 8, 8)","(32, 32)",9,False,836,0.790000,50,0.0001
BGR,"(8, 8, 8)","(32, 32)",9,True,846,0.795000,50,0.0001
BGR,"(8, 8, 8)","(32, 32)",12,False,944,0.780000,100,1e-05
BGR,"(8, 8, 8)","(32, 32)",12,True,954,0.790000,100,1e-05
BGR,"(8, 8, 8)","(32, 32)",15,False,1052,0.785000,100,1e-05
BGR,"(8, 8, 8)","(32, 32)",15,True,1062,0.790000,100,1e-05
BGR,"(8, 8, 8)","(32, 32)",18,False,1160,0.785000,100,1e-05
BGR,"(8, 8, 8)","(32, 32)",18,True,1170,0.790000,100,1e-05
BGR,"(8, 8, 8)","(40, 40)",9,False,656,0.755000,50,0.0001
BGR,"(8, 8, 8)","(40, 40)",9,True,666,0.760000,50,0.0001
BGR,"(8, 8, 8)","(40, 40)",12,False,704,0.750000,50,0.0001
BGR,"(8, 8, 8)","(40, 40)",12,True,714,0.765000,50,0.0001
BGR,"(8, 8, 8)","(40, 40)",15,False,752,0.765000,100,1e-05
BGR,"(8, 8, 8)","(40, 40)",15,True,762,0.775000,100,1e-05
BGR,"(8, 8, 8)","(40, 40)",18,False,800,0.780000,50,0.0001
BGR,"(8, 8, 8)","(40, 40)",18,True,810,0.785000,50,0.0001
BGR,"(12, 12, 12)","(16, 16)",9,False,3492,0.765000,50,1e-05
BGR,"(12, 12, 12)","(16, 16)",9,True,3502,0.765000,50,1e-05
BGR,"(12, 12, 12)","(16, 16)",12,False,4080,0.755000,10,1e-05
BGR,"(12, 12, 12)","(16, 16)",12,True,4090,0.750000,10,1e-05
BGR,"(12, 12, 12)","(16, 16)",15,False,4668,0.780000,50,1e-05
BGR,"(12, 12, 12)","(16, 16)",15,True,4678,0.780000,50,1e-05
BGR,"(12, 12, 12)","(16, 16)",18,False,5256,0.735000,10,1e-05
BGR,"(12, 12, 12)","(16, 16)",18,True,5266,0.740000,10,1e-05
BGR,"(12, 12, 12)","(24, 24)",9,False,2304,0.810000,100,1e-05
BGR,"(12, 12, 12)","(24, 24)",9,True,2314,0.820000,100,1e-05
BGR,"(12, 12, 12)","(24, 24)",12,False,2496,0.800000,100,1e-05
BGR,"(12, 12, 12)","(24, 24)",12,True,2506,0.795000,100,1e-05
BGR,"(12, 12, 12)","(24, 24)",15,False,2688,0.795000,100,1e-05
BGR,"(12, 12, 12)","(24, 24)",15,True,2698,0.805000,100,1e-05
BGR,"(12, 12, 12)","(24, 24)",18,False,2880,0.800000,100,1e-05
BGR,"(12, 12, 12)","(24, 24)",18,True,2890,0.800000,100,1e-05
BGR,"(12, 12, 12)","(32, 32)",9,False,2052,0.800000,100,1e-05
BGR,"(12, 12, 12)","(32, 32)",9,True,2062,0.805000,100,1e-05
BGR,"(12, 12, 12)","(32, 32)",12,False,2160,0.800000,100,1e-05
BGR,"(12, 12, 12)","(32, 32)",12,True,2170,0.805000,100,1e-05
BGR,"(12, 12, 12)","(32, 32)",15,False,2268,0.795000,100,1e-05
BGR,"(12, 12, 12)","(32, 32)",15,True,2278,0.795000,100,1e-05
BGR,"(12, 12, 12)","(32, 32)",18,False,2376,0.800000,100,1e-05
BGR,"(12, 12, 12)","(32, 32)",18,True,2386,0.795000,100,1e-05
BGR,"(12, 12, 12)","(40, 40)",9,False,1872,0.790000,50,0.0001
BGR,"(12, 12, 12)","(40, 40)",9,True,1882,0.805000,50,0.0001
BGR,"(12, 12, 12)","(40, 40)",12,False,1920,0.800000,50,0.0001
BGR,"(12, 12, 12)","(40, 40)",12,True,1930,0.805000,50,0.0001
BGR,"(12, 12, 12)","(40, 40)",15,False,1968,0.805000,50,0.0001
BGR,"(12, 12, 12)","(40, 40)",15,True,1978,0.800000,50,0.0001
BGR,"(12, 12, 12)","(40, 40)",18,False,2016,0.800000,50,0.0001
BGR,"(12, 12, 12)","(40, 40)",18,True,2026,0.790000,50,0.0001
BGR,"(16, 16, 16)","(16, 16)",9,False,5860,0.785000,50,1e-05
BGR,"(16, 16, 16)","(16, 16)",9,True,5870,0.790000,50,1e-05
BGR,"(16, 16, 16)","(16, 16)",12,False,6448,0.780000,50,1e-05
BGR,"(16, 16, 16)","(16, 16)",12,True,6458,0.785000,50,1e-05
BGR,"(16, 16, 16)","(16, 16)",15,False,7036,0.790000,50,1e-05
BGR,"(16, 16, 16)","(16, 16)",15,True,7046,0.790000,50,1e-05
BGR,"(16, 16, 16)","(16, 16)",18,False,7624,0.780000,50,1e-05
BGR,"(16, 16, 16)","(16, 16)",18,True,7634,0.780000,10,1e-05
BGR,"(16, 16, 16)","(24, 24)",9,False,4672,0.840000,100,1e-05
BGR,"(16, 16, 16)","(24, 24)",9,True,4682,0.840000,100,1e-05
BGR,"(16, 16, 16)","(24, 24)",12,False,4864,0.825000,100,1e-05
BGR,"(16, 16, 16)","(24, 24)",12,True,4874,0.825000,50,1e-05
BGR,"(16, 16, 16)","(24, 24)",15,False,5056,0.830000,50,1e-05
BGR,"(16, 16, 16)","(24, 24)",15,True,5066,0.835000,50,1e-05
BGR,"(16, 16, 16)","(24, 24)",18,False,5248,0.810000,100,1e-05
BGR,"(16, 16, 16)","(24, 24)",18,True,5258,0.815000,50,1e-05
BGR,"(16, 16, 16)","(32, 32)",9,False,4420,0.830000,100,1e-05
BGR,"(16, 16, 16)","(32, 32)",9,True,4430,0.840000,50,1e-05
BGR,"(16, 16, 16)","(32, 32)",12,False,4528,0.840000,100,1e-05
BGR,"(16, 16, 16)","(32, 32)",12,True,4538,0.850000,100,1e-05
BGR,"(16, 16, 16)","(32, 32)",15,False,4636,0.840000,50,1e-05
BGR,"(16, 16, 16)","(32, 32)",15,True,4646,0.845000,100,1e-05
BGR,"(16, 16, 16)","(32, 32)",18,False,4744,0.835000,100,1e-05
BGR,"(16, 16, 16)","(32, 32)",18,True,4754,0.835000,100,1e-05
BGR,"(16, 16, 16)","(40, 40)",9,False,4240,0.850000,100,1e-05
BGR,"(16, 16, 16)","(40, 40)",9,True,4250,0.835000,100,1e-05
BGR,"(16, 16, 16)","(40, 40)",12,False,4288,0.840000,100,1e-05
BGR,"(16, 16, 16)","(40, 40)",12,True,4298,0.845000,100,1e-05
BGR,"(16, 16, 16)","(40, 40)",15,False,4336,0.810000,100,1e-05
BGR,"(16, 16, 16)","(40, 40)",15,True,4346,0.825000,100,1e-05
BGR,"(16, 16, 16)","(40, 40)",18,False,4384,0.830000,100,1e-05
BGR,"(16, 16, 16)","(40, 40)",18,True,4394,0.835000,100,1e-05
BGR,"(24, 24, 24)","(16, 16)",9,False,15588,0.795000,50,1e-05
BGR,"(24, 24, 24)","(16, 16)",9,True,15598,0.805000,50,1e-05
BGR,"(24, 24, 24)","(16, 16)",12,False,16176,0.780000,50,1e-05
BGR,"(24, 24, 24)","(16, 16)",12,True,16186,0.780000,50,1e-05
BGR,"(24, 24, 24)","(16, 16)",15,False,16764,0.785000,10,1e-05
BGR,"(24, 24, 24)","(16, 16)",15,True,16774,0.785000,10,1e-05
BGR,"(24, 24, 24)","(16, 16)",18,False,17352,0.795000,50,1e-05
BGR,"(24, 24, 24)","(16, 16)",18,True,17362,0.795000,50,1e-05
BGR,"(24, 24, 24)","(24, 24)",9,False,14400,0.785000,50,1e-05
BGR,"(24, 24, 24)","(24, 24)",9,True,14410,0.805000,50,1e-05
BGR,"(24, 24, 24)","(24, 24)",12,False,14592,0.800000,100,1e-05
BGR,"(24, 24, 24)","(24, 24)",12,True,14602,0.800000,50,1e-05
BGR,"(24, 24, 24)","(24, 24)",15,False,14784,0.810000,50,1e-05
BGR,"(24, 24, 24)","(24, 24)",15,True,14794,0.815000,50,1e-05
BGR,"(24, 24, 24)","(24, 24)",18,False,14976,0.820000,50,1e-05
BGR,"(24, 24, 24)","(24, 24)",18,True,14986,0.820000,50,1e-05
BGR,"(24, 24, 24)","(32, 32)",9,False,14148,0.775000,100,1e-05
BGR,"(24, 24, 24)","(32, 32)",9,True,14158,0.780000,100,1e-05
BGR,"(24, 24, 24)","(32, 32)",12,False,14256,0.790000,50,1e-05
BGR,"(24, 24, 24)","(32, 32)",12,True,14266,0.800000,50,1e-05
BGR,"(24, 24, 24)","(32, 32)",15,False,14364,0.790000,50,1e-05
BGR,"(24, 24, 24)","(32, 32)",15,True,14374,0.790000,50,1e-05
BGR,"(24, 24, 24)","(32, 32)",18,False,14472,0.800000,50,1e-05
BGR,"(24, 24, 24)","(32, 32)",18,True,14482,0.800000,50,1e-05
BGR,"(24, 24, 24)","(40, 40)",9,False,13968,0.775000,50,1e-05
BGR,"(24, 24, 24)","(40, 40)",9,True,13978,0.780000,50,1e-05
BGR,"(24, 24, 24)","(40, 40)",12,False,14016,0.780000,50,1e-05
BGR,"(24, 24, 24)","(40, 40)",12,True,14026,0.785000,50,1e-05
BGR,"(24, 24, 24)","(40, 40)",15,False,14064,0.780000,100,1e-05
BGR,"(24, 24, 24)","(40, 40)",15,True,14074,0.780000,100,1e-05
BGR,"(24, 24, 24)","(40, 40)",18,False,14112,0.790000,50,1e-05
BGR,"(24, 24, 24)","(40, 40)",18,True,14122,0.795000,100,1e-05
HSV,"(8, 8, 8)","(16, 16)",9,False,2276,0.795000,100,1e-05
HSV,"(8, 8, 8)","(16, 16)",9,True,2286,0.800000,100,1e-05
HSV,"(8, 8, 8)","(16, 16)",12,False,2864,0.780000,100,1e-05
HSV,"(8, 8, 8)","(16, 16)",12,True,2874,0.785000,50,1e-05
HSV,"(8, 8, 8)","(16, 16)",15,False,3452,0.805000,50,1e-05
HSV,"(8, 8, 8)","(16, 16)",15,True,3462,0.800000,50,1e-05
HSV,"(8, 8, 8)","(16, 16)",18,False,4040,0.760000,10,1e-05
HSV,"(8, 8, 8)","(16, 16)",18,True,4050,0.765000,10,1e-05
HSV,"(8, 8, 8)","(24, 24)",9,False,1088,0.835000,50,0.0001
HSV,"(8, 8, 8)","(24, 24)",9,True,1098,0.835000,50,0.0001
HSV,"(8, 8, 8)","(24, 24)",12,False,1280,0.805000,50,0.0001
HSV,"(8, 8, 8)","(24, 24)",12,True,1290,0.815000,50,0.0001
HSV,"(8, 8, 8)","(24, 24)",15,False,1472,0.805000,100,1e-05
HSV,"(8, 8, 8)","(24, 24)",15,True,1482,0.820000,100,1e-05
HSV,"(8, 8, 8)","(24, 24)",18,False,1664,0.810000,100,1e-05
HSV,"(8, 8, 8)","(24, 24)",18,True,1674,0.815000,100,1e-05
HSV,"(8, 8, 8)","(32, 32)",9,False,836,0.820000,50,0.0001
HSV,"(8, 8, 8)","(32, 32)",9,True,846,0.810000,50,0.0001
HSV,"(8, 8, 8)","(32, 32)",12,False,944,0.825000,10,0.0001
HSV,"(8, 8, 8)","(32, 32)",12,True,954,0.820000,10,0.0001
HSV,"(8, 8, 8)","(32, 32)",15,False,1052,0.810000,10,0.0001
HSV,"(8, 8, 8)","(32, 32)",15,True,1062,0.820000,50,0.0001
HSV,"(8, 8, 8)","(32, 32)",18,False,1160,0.800000,50,0.0001
HSV,"(8, 8, 8)","(32, 32)",18,True,1170,0.805000,50,0.0001
HSV,"(8, 8, 8)","(40, 40)",9,False,656,0.850000,50,0.0001
HSV,"(8, 8, 8)","(40, 40)",9,True,666,0.835000,50,0.0001
HSV,"(8, 8, 8)","(40, 40)",12,False,704,0.830000,10,0.0001
HSV,"(8, 8, 8)","(40, 40)",12,True,714,0.840000,10,0.0001
HSV,"(8, 8, 8)","(40, 40)",15,False,752,0.830000,50,0.0001
HSV,"(8, 8, 8)","(40, 40)",15,True,762,0.840000,100,1e-05
HSV,"(8, 8, 8)","(40, 40)",18,False,800,0.810000,50,0.0001
HSV,"(8, 8, 8)","(40, 40)",18,True,810,0.840000,10,0.0001
HSV,"(12, 12, 12)","(16, 16)",9,False,3492,0.845000,50,1e-05
HSV,"(12, 12, 12)","(16, 16)",9,True,3502,0.845000,50,1e-05
HSV,"(12, 12, 12)","(16, 16)",12,False,4080,0.835000,50,1e-05
HSV,"(12, 12, 12)","(16, 16)",12,True,4090,0.840000,50,1e-05
HSV,"(12, 12, 12)","(16, 16)",15,False,4668,0.845000,50,1e-05
HSV,"(12, 12, 12)","(16, 16)",15,True,4678,0.845000,50,1e-05
HSV,"(12, 12, 12)","(16, 16)",18,False,5256,0.825000,50,1e-05
HSV,"(12, 12, 12)","(16, 16)",18,True,5266,0.825000,50,1e-05
HSV,"(12, 12, 12)","(24, 24)",9,False,2304,0.875000,100,1e-05
HSV,"(12, 12, 12)","(24, 24)",9,True,2314,0.880000,100,1e-05
HSV,"(12, 12, 12)","(24, 24)",12,False,2496,0.870000,50,1e-05
HSV,"(12, 12, 12)","(24, 24)",12,True,2506,0.880000,100,1e-05
HSV,"(12, 12, 12)","(24, 24)",15,False,2688,0.870000,50,1e-05
HSV,"(12, 12, 12)","(24, 24)",15,True,2698,0.890000,100,1e-05
HSV,"(12, 12, 12)","(24, 24)",18,False,2880,0.845000,50,1e-05
HSV,"(12, 12, 12)","(24, 24)",18,True,2890,0.855000,10,0.0001
HSV,"(12, 12, 12)","(32, 32)",9,False,2052,0.855000,100,1e-05
HSV,"(12, 12, 12)","(32, 32)",9,True,2062,0.860000,100,1e-05
HSV,"(12, 12, 12)","(32, 32)",12,False,2160,0.860000,50,1e-05
HSV,"(12, 12, 12)","(32, 32)",12,True,2170,0.870000,50,1e-05
HSV,"(12, 12, 12)","(32, 32)",15,False,2268,0.865000,50,1e-05
HSV,"(12, 12, 12)","(32, 32)",15,True,2278,0.875000,50,1e-05
HSV,"(12, 12, 12)","(32, 32)",18,False,2376,0.860000,100,1e-05
HSV,"(12, 12, 12)","(32, 32)",18,True,2386,0.870000,50,1e-05
HSV,"(12, 12, 12)","(40, 40)",9,False,1872,0.860000,100,1e-05
HSV,"(12, 12, 12)","(40, 40)",9,True,1882,0.860000,100,1e-05
HSV,"(12, 12, 12)","(40, 40)",12,False,1920,0.865000,100,1e-05
HSV,"(12, 12, 12)","(40, 40)",12,True,1930,0.860000,50,1e-05
HSV,"(12, 12, 12)","(40, 40)",15,False,1968,0.860000,100,1e-05
HSV,"(12, 12, 12)","(40, 40)",15,True,1978,0.865000,100,1e-05
HSV,"(12, 12, 12)","(40, 40)",18,False,2016,0.860000,100,1e-05
HSV,"(12, 12, 12)","(40, 40)",18,True,2026,0.860000,50,1e-05
HSV,"(16, 16, 16)","(16, 16)",9,False,5860,0.850000,50,1e-05
HSV,"(16, 16, 16)","(16, 16)",9,True,5870,0.855000,50,1e-05
HSV,"(16, 16, 16)","(16, 16)",12,False,6448,0.840000,10,1e-05
HSV,"(16, 16, 16)","(16, 16)",12,True,6458,0.840000,10,1e-05
HSV,"(16, 16, 16)","(16, 16)",15,False,7036,0.850000,10,1e-05
HSV,"(16, 16, 16)","(16, 16)",15,True,7046,0.845000,10,1e-05
HSV,"(16, 16, 16)","(16, 16)",18,False,7624,0.840000,50,1e-05
HSV,"(16, 16, 16)","(16, 16)",18,True,7634,0.845000,50,1e-05
HSV,"(16, 16, 16)","(24, 24)",9,False,4672,0.855000,50,1e-05
HSV,"(16, 16, 16)","(24, 24)",9,True,4682,0.865000,100,1e-05
HSV,"(16, 16, 16)","(24, 24)",12,False,4864,0.855000,50,1e-05
HSV,"(16, 16, 16)","(24, 24)",12,True,4874,0.865000,50,1e-05
HSV,"(16, 16, 16)","(24, 24)",15,False,5056,0.865000,50,1e-05
HSV,"(16, 16, 16)","(24, 24)",15,True,5066,0.870000,50,1e-05
HSV,"(16, 16, 16)","(24, 24)",18,False,5248,0.875000,50,1e-05
HSV,"(16, 16, 16)","(24, 24)",18,True,5258,0.875000,50,1e-05
HSV,"(16, 16, 16)","(32, 32)",9,False,4420,0.860000,50,1e-05
HSV,"(16, 16, 16)","(32, 32)",9,True,4430,0.865000,50,1e-05
HSV,"(16, 16, 16)","(32, 32)",12,False,4528,0.855000,50,1e-05
HSV,"(16, 16, 16)","(32, 32)",12,True,4538,0.865000,50,1e-05
HSV,"(16, 16, 16)","(32, 32)",15,False,4636,0.865000,100,1e-05
HSV,"(16, 16, 16)","(32, 32)",15,True,4646,0.870000,50,1e-05
HSV,"(16, 16, 16)","(32, 32)",18,False,4744,0.860000,50,1e-05
HSV,"(16, 16, 16)","(32, 32)",18,True,4754,0.865000,100,1e-05
HSV,"(16, 16, 16)","(40, 40)",9,False,4240,0.865000,100,1e-05
HSV,"(16, 16, 16)","(40, 40)",9,True,4250,0.860000,50,1e-05
HSV,"(16, 16, 16)","(40, 40)",12,False,4288,0.865000,100,1e-05
HSV,"(16, 16, 16)","(40, 40)",12,True,4298,0.855000,50,1e-05
HSV,"(16, 16, 16)","(40, 40)",15,False,4336,0.865000,100,1e-05
HSV,"(16, 16, 16)","(40, 40)",15,True,4346,0.865000,50,1e-05
HSV,"(16, 16, 16)","(40, 40)",18,False,4384,0.860000,50,1e-05
HSV,"(16, 16, 16)","(40, 40)",18,True,4394,0.865000,100,1e-05
HSV,"(24, 24, 24)","(16, 16)",9,False,15588,0.840000,10,1e-05
HSV,"(24, 24, 24)","(16, 16)",9,True,15598,0.840000,10,1e-05
HSV,"(24, 24, 24)","(16, 16)",12,False,16176,0.845000,50,1e-05
HSV,"(24, 24, 24)","(16, 16)",12,True,16186,0.845000,50,1e-05
HSV,"(24, 24, 24)","(16, 16)",15,False,16764,0.835000,10,1e-05
HSV,"(24, 24, 24)","(16, 16)",15,True,16774,0.835000,10,1e-05
HSV,"(24, 24, 24)","(16, 16)",18,False,17352,0.830000,10,1e-05
HSV,"(24, 24, 24)","(16, 16)",18,True,17362,0.830000,10,1e-05
HSV,"(24, 24, 24)","(24, 24)",9,False,14400,0.825000,50,1e-05
HSV,"(24, 24, 24)","(24, 24)",9,True,14410,0.830000,50,1e-05
HSV,"(24, 24, 24)","(24, 24)",12,False,14592,0.835000,50,1e-05
HSV,"(24, 24, 24)","(24, 24)",12,True,14602,0.835000,50,1e-05
HSV,"(24, 24, 24)","(24, 24)",15,False,14784,0.835000,50,1e-05
HSV,"(24, 24, 24)","(24, 24)",15,True,14794,0.840000,50,1e-05
HSV,"(24, 24, 24)","(24, 24)",18,False,14976,0.845000,50,1e-05
HSV,"(24, 24, 24)","(24, 24)",18,True,14986,0.845000,50,1e-05
HSV,"(24, 24, 24)","(32, 32)",9,False,14148,0.825000,50,1e-05
HSV,"(24, 24, 24)","(32, 32)",9,True,14158,0.830000,50,1e-05
HSV,"(24, 24, 24)","(32, 32)",12,False,14256,0.825000,50,1e-05
HSV,"(24, 24, 24)","(32, 32)",12,True,14266,0.830000,50,1e-05
HSV,"(24, 24, 24)","(32, 32)",15,False,14364,0.820000,50,1e-05
HSV,"(24, 24, 24)","(32, 32)",15,True,14374,0.825000,50,1e-05
HSV,"(24, 24, 24)","(32, 32)",18,False,14472,0.830000,50,1e-05
HSV,"(24, 24, 24)","(32, 32)",18,True,14482,0.830000,50,1e-05
HSV,"(24, 24, 24)","(40, 40)",9,False,13968,0.825000,50,1e-05
HSV,"(24, 24, 24)","(40, 40)",9,True,13978,0.830000,50,1e-05
HSV,"(24, 24, 24)","(40, 40)",12,False,14016,0.825000,50,1e-05
HSV,"(24, 24, 24)","(40, 40)",12,True,14026,0.830000,50,1e-05
HSV,"(24, 24, 24)","(40, 40)",15,False,14064,0.825000,50,1e-05
HSV,"(24, 24, 24)","(40, 40)",15,True,14074,0.825000,50,1e-05
HSV,"(24, 24, 24)","(40, 40)",18,False,14112,0.830000,50,1e-05
HSV,"(24, 24, 24)","(40, 40)",18,True,14122,0.830000,50,1e-05
